# iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Iozone: Performance Test of File I/O
                Version $Revision: 3.506 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa,
                     Alexey Skidanov, Sudhir Kumar.

        Run began: Tue Feb  4 11:54:54 2025

        Network distribution mode enabled.
        Auto Mode
        Selected test not available on the version.
        Using maximum file size of 1048576 kilobytes.
        Command line used: iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4   1599680   2444640  12902017  12310336  10821524   1991276   2203800    7940539   10821524   1304314   5389653  12902017  12310336
              64       8   1879725   6421025  15972885  20962191  12902017   6421025   7940539    9006179   15972885   4897948   7100397  15972885  15972885
              64      16    200653   8182586  20962191  20962191  15972885   6421025   9318832    9318832   20962191   2006158   2467108   5860307  15972885
              64      32    586352   2467108  22737791  12310336  12310336   4897948   7940539    4897948   10821524   1013707   9006179  22737791  20962191
              64      64    326641   7940539  15972885  64000000  20962191   5389653  10402178    4897948   10402178   5860307   8182586  15972885  34389688
             128       4    342216   6045455  10779307  12842051   9795896   4889281   6406138    8036304    9129573   5545860   5603747  11470204  12842051
             128       8   2286447   7082197  18012359  15881078  14200794   5784891   8548124   10567140   16365173   6045455   6727225  14200794  15881078
             128      16   2420455   7082197  20804356  15881078  16365173   6406138  11470204   10567140   18637664   6406138   7582312  12542043  21643049
             128      32   1755594   7582312  21643049  16365173  21643049   8036304  14200794   10567140   10567140   6406138   8036304   4934216  25804035
             128      64   2558895   7476717  18012359  31945770  20804356   5847904   9795896    9795896   14200794    688467   9977956  18637664  25804035
             128     128    384356   8036304  18637664  41924383  31945770   8548124  18012359    7582312   15881078   6727225   3759450  14200794  25804035
             256       4    345498   4734192  11695808  12812277   8815202   5242734   6936061    8467615    4496299   5569035   5320671  11091721  13454450
             256       8   2392442   7518900  18259146  16072608  14164395   6249745   9114515    9192546   12812277   5841722   4652146  15835569  18259146
