admin@master:~$ iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Iozone: Performance Test of File I/O
                Version $Revision: 3.506 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa,
                     Alexey Skidanov, Sudhir Kumar.

        Run began: Sun Feb  2 16:09:21 2025

        Network distribution mode enabled.
        Auto Mode
        Selected test not available on the version.
        Using maximum file size of 1048576 kilobytes.
        Command line used: iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4   1879725   4564786  15972885  12902017   9318832   4018152   3791156    4897948    6421025   2006158   1734015   7100397  12902017
              64       8   1421755   5283570   3203069  22737791  15972885   4564786   2203800    6421025    7940539   4897948   5283570   9318832  15972885
              64      16   2772930   5735102  20962191  20962191  15972885   4564786   5735102    5860307    9318832   3541098   5283570   6421025  15972885
              64      32   2358717   5283570  30484297  34389688  20962191   5389653   4018152    5735102    9318832   4018152   7100397   2006158  15972885
              64      64   1452528   4897948  30484297  64000000   3541098   5283570   5860307    5389653    9006179   5283570   2203800  10402178  22737791
             128       4   2558895   5545860  12542043  14200794   9129573   4717434   5545860    6406138    6330599   4557257   5325799   9129573  12842051
             128       8   2969325   2326073  18637664  18012359  12842051   6727225   7917784    8548124   11470204   5784891   5847904  11470204  15881078
             128      16   2326073   6406138  20804356  20804356  18012359   3468030   5325799    8036304   14200794   6406138   6114306   4557257  18637664
             128      32   2843510   7176872  20804356  25804035  18012359   7082197   6727225    7082197   14200794   6727225    962469  10779307  20804356
             128      64   3053774   7176872  25804035  31945770  20804356   7082197   9977956    3867787   14200794   4934216   9287508  12842051  20804356
             128     128   3036502   6727225  31945770  31945770  25804035   7082197   9795896    6727225   12842051    274641   7082197  14200794  21643049
             256       4   2849590   5810112  12228612  12228612   9192546   1455317   5841722    6891544    1884399   4929815   5117791   7735574   9778562
             256       8   3123106   6554972  16072608  16072608  13625180   6249745   9868433    2019049   10245071   4477549   6398720  14164395  17096249
             256      16   3511189   7735574  17096249  21558614  15164624   7120034  11207494   11695808   17096249    475779   1881098  14353744  19591792
             256      32   3499745   8271916  23441229  21134280  19955913    910872  12228612   11695808   18259146   7735574   7735574  16072608  23441229
             256      64   3511189   7965107  22940409  25084087  21134280   1855098   6249745   11569783   19591792   3605511   7120034  13454450  19591792
             256     128   3197509   7791708  22940409   2310087  21558614   1855098   4132864    9868433   12661199   5455847   8815202   9114515  14353744
             256     256   3368013   7965107  28401588  28401588  21558614   8024634  12812277    8208677   17096249   8271916   8271916  16072608  23441229
             512       4   2995907   6086873  11683444  11620224   9145790   5278892   7022379    7871843    7513788   3993047   2486072   6736026   8265729
             512       8   3409755   6999490  17069844  17069844  13109944   6652558  10235583   11374040   11943357   1924603   2768068    491324  12215097
             512      16   3710197   4973263  18385093  16543832  14240069   7235318  12499490   12797441    3122224   1391933   7410080  11138071  18229030
             512      32   2427068   8665997  21516644  23391616  18869737   8140399  14628067   13872122    9107004   5331314   7758090   3220553  20490142
             512      64   4000485   8955098  23139567   4091959  22183443   8665997   7900804   13109944   23391616   8265729   3736016   1867692  20490142
             512     128   3941742   8665997   2246778   4030519  21303197   1910902  16417355    8665997   23139567   8844453   9304292  16543832   7871843
             512     256   2725905   8265729  22183443  22414989  21516644   8528336   5684095   10485468   19557124   6395018  12499490   1329871  20490142
             512     512   3659616   8701110   1677976  26908901  23139567   8394979  17630404    2651850   18229030   8528336   2708713  15930214  20490142
            1024       4   3160839   6244448   2455943  11249091   5950309   1786736   4614246    8391792    8525047   5917516   5925680  10662628  11249091
            1024       8   2275110   4265934  13472053   6025439  13472053   6918376   3469823   12071103   12208350   7066349   6874084  15295157   6025439
            1024      16   3981224   8750850  12492426   4805258  17688906   8199542  11645609    7160597    1081363   6364746   6559147   1292961  14230902
            1024      32   3447541   8914314  21388672  12037272   6744549   8610501  15080341   15295157    9300377   7941793   6280976   3849207  22276143
            1024      64   4095102   9569770  21388672  22748081   4195100   9220512  17688906   15743686   27744245   6479979   8457895  15516181  18291580
            1024     128   4018473   9300377  23240448  20869039  22276143   6290174   8122014   15516181   24292018   5623115   8988941  20088179  22748081
            1024     256   3966517   8457895  11398360   9161508  22161202   7699755  13643232    8610501   13102174   2290886   8822754  11773301  15977962
